事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2677,2024-04-26 00:04:00,2024-04-26 00:04:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.381,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.4，实际=49.0 vs 预测=16.6）
2678,2024-04-26 00:09:00,2024-04-26 00:09:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.579,30,正常
2679,2024-04-26 00:12:00,2024-04-26 00:12:00,1.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.741,30,正常
2680,2024-04-26 00:14:00,2024-04-26 00:14:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.489,30,正常
2681,2024-04-26 00:17:00,2024-04-26 00:17:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.507,30,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=4.5，实际=50.0 vs 预测=0.0）
2682,2024-04-26 00:19:00,2024-04-26 00:19:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.406,30,正常
2683,2024-04-26 00:22:00,2024-04-26 00:22:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.979,30,正常
2684,2024-04-26 00:25:00,2024-04-26 00:27:00,3.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.066,90,正常
2685,2024-04-26 00:31:00,2024-04-26 00:31:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.708,30,正常
2686,2024-04-26 00:44:00,2024-04-26 00:44:00,1.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2374.244,30,Mahalanobis 距离=2374.2（阈值=18.5）。主要贡献特征：PC2 (73.2%); PC3 (26.6%)。
